dfCombis=    A1  A2  A3  A4  A5  A6
1    4  12  21  26  37  47
2    5  18  23  31  35  36
3    6  10  13  24  42  46
4   27  28  32  38  41  44
5    2   7   8  15  16  17
6    9  22  30  39  48  49
7    4  18  26  35  39  42
8   16  21  25  27  31  40
9    7   8  13  32  41  49
10   6   9  15  23  30  48
11  10  12  20  38  45  47
12   5  14  22  29  33  36
13  13  16  18  21  27  38
14   2   9  15  31  32  45
15  10  11  25  39  40  42
16   1   8  12  35  37  43
17  14  17  19  20  33  47
18   7  26  28  30  41  48
19   6   8  10  12  36  37
20  15  17  30  31  41  42
21   3   5  16  18  38  39
22  16  27  30  40  43  45
23  20  21  24  25  32  41
24   3   6  17  29  34  39
25   5   8  23  33  42  46
26   2  10  12  14  31  47
27   1  18  19  28  35  36
28   6  16  24  35  41  42
29   9  15  21  23  25  26
30   2   7  28  30  39  47
